sku,asin,product_name,unit_cost_usd,inbound_freight_per_unit_usd,packaging_per_unit_usd,other_cost_per_unit_usd,supplier_lead_time_days,notes
TH-CASIRO-01,B0TH001KX,Cast Iron Skillet 10in,9.40,2.10,0.60,0.00,55,
TH-CASIRO-02,B0TH002KX,Cast Iron Skillet 12in,12.80,2.60,0.70,0.00,55,
TH-ENADUT-03,B0TH003KX,Enamel Dutch Oven 5qt,24.50,4.20,1.10,0.00,60,
TH-CARSTE-04,B0TH004KX,Carbon Steel Wok,13.20,2.30,0.60,0.00,50,
TH-BAMCUT-05,B0TH005KX,Bamboo Cutting Board L,6.10,1.40,0.40,0.00,40,
TH-BAMCUT-06,B0TH006KX,Bamboo Cutting Board M,4.20,1.00,0.30,0.00,40,
TH-WALSER-07,B0TH007KX,Walnut Serving Tray,10.90,1.70,0.50,0.00,45,
TH-CHEKNI-08,B0TH008KX,Chef Knife 8in,14.60,1.10,0.90,0.00,45,
TH-PARKNI-09,B0TH009KX,Paring Knife 3.5in,3.90,0.50,0.40,0.00,45,
TH-BREKNI-10,B0TH010KX,Bread Knife 10in,6.80,0.70,0.50,0.00,45,
TH-KNISHA-11,B0TH011KX,Knife Sharpener Whetstone,5.20,0.90,0.40,0.00,35,
TH-STAMIX-12,B0TH012KX,Stainless Mixing Bowls 5pc,9.10,2.40,0.80,0.00,50,
TH-SILSPA-13,B0TH013KX,Silicone Spatula Set,2.60,0.40,0.30,0.00,30,
TH-MEACUP-14,B0TH014KX,Measuring Cups Steel,4.70,0.70,0.40,0.00,35,
TH-SALCEL-15,B0TH015KX,Salt Cellar Acacia,3.30,0.50,0.30,0.00,35,
TH-PEPMIL-16,B0TH016KX,Pepper Mill Walnut,8.20,0.90,0.50,0.00,45,
TH-FREPRE-17,B0TH017KX,French Press 34oz,7.10,1.30,0.60,0.00,40,
TH-POUOVE-18,B0TH018KX,Pour Over Kettle Gooseneck,11.40,1.60,0.70,0.00,45,
TH-COFCAN-19,B0TH019KX,Coffee Canister Airtight,5.00,0.80,0.40,0.00,35,
TH-TEAINF-20,B0TH020KX,Tea Infuser Mug,3.80,0.60,0.30,0.00,35,
TH-APRWAX-21,B0TH021KX,Apron Waxed Canvas,9.60,0.60,0.40,0.00,40,
TH-OVEMIT-22,B0TH022KX,Oven Mitts Aramid Pair,4.10,0.40,0.30,0.00,35,
TH-TRICOR-23,B0TH023KX,Trivet Cork Set,2.10,0.30,0.20,0.00,30,
TH-KITTOW-24,B0TH024KX,Kitchen Towels Linen 4pk,5.50,0.50,0.30,0.00,35,
